"","X","Country","AML Risk"
"1",3,"Afghanistan","8.3816869524372937"
"2",86,"Albania","5.7492787271637322"
"3",55,"Algeria","6.4774091680720414"
"4",50,"Angola","6.5471525233280339"
"5",42,"Argentina","6.690047026902211"
"6",135,"Armenia","4.4378094732602218"
"7",132,"Australia","4.4905537749822706"
"8",109,"Austria","5.0614554759401642"
"9",120,"Azerbaijan","4.7829128242041952"
"10",82,"Bahrain","5.8012733518844932"
"11",83,"Bangladesh","5.7902895688849361"
"12",124,"Belgium","4.658774497983309"
"13",23,"Benin","7.3738595904764122"
"14",24,"Bolivia","7.1740230019973286"
"15",80,"Bosnia and Herzegovina","5.9071377486772327"
"16",75,"Botswana","6.0245023924360153"
"17",67,"Brazil","6.1980404723174249"
"18",144,"Bulgaria","3.8697291619862924"
"19",16,"Burkina Faso","7.5383662459569667"
"20",10,"Cambodia","7.9423949448902551"
"21",104,"Canada","5.1411790384507174"
"22",32,"Cape Verde","6.9906922502320947"
"23",110,"Chile","4.9407136731536356"
"24",52,"China","6.5266189717121303"
"25",126,"Colombia","4.570825494759033"
"26",78,"Costa Rica","5.9291665439844845"
"27",54,"Cote d'Ivoire","6.5086393848277737"
"28",140,"Croatia","4.1123747050756814"
"29",116,"Cyprus","4.8667180010371327"
"30",127,"Czech Republic","4.5650506901708727"
"31",141,"Denmark","4.0531371640692893"
"32",105,"Dominica","5.1151379657331804"
"33",43,"Dominican Republic","6.6880894247297231"
"34",59,"Ecuador","6.3658012820152639"
"35",88,"Egypt","5.6620226480611926"
"36",92,"El Salvador","5.4809485985076343"
"37",145,"Estonia","3.8305863918086107"
"38",147,"Finland","3.0421285712547514"
"39",129,"France","4.5176267112981519"
"40",40,"Gambia","6.7017621835596071"
"41",98,"Georgia","5.3736197636606864"
"42",122,"Germany","4.7764725151926761"
"43",35,"Ghana","6.8394856356169464"
"44",106,"Greece","5.109352417940582"
"45",74,"Grenada","6.0442374263453651"
"46",68,"Guatemala","6.1701643926143692"
"47",4,"Guinea-Bissau","8.3494441188789121"
"48",64,"Guyana","6.2371122358689277"
"49",18,"Haiti","7.5010414658735236"
"50",76,"Honduras","5.9731004820618345"
"51",90,"Hong Kong SAR, China","5.5404837555107607"
"52",95,"Hungary","5.4140305051052025"
"53",133,"Iceland","4.4707589718124803"
"54",89,"India","5.5811701537278635"
"55",62,"Indonesia","6.3186977613530528"
"56",2,"Iran","8.6023882221226842"
"57",125,"Ireland","4.6154646333309373"
"58",138,"Israel","4.2526119964124218"
"59",96,"Italy","5.4114804161399048"
"60",48,"Jamaica","6.6045181538301998"
"61",99,"Japan","5.3623971707452549"
"62",112,"Jordan","4.9006723437970656"
"63",57,"Kazakhstan","6.4214730093243366"
"64",12,"Kenya","7.7159325218609451"
"65",114,"Korea, South","4.8957565749236149"
"66",91,"Kuwait","5.5284692505429449"
"67",61,"Kyrgyzstan","6.3261383903048998"
"68",6,"Laos","8.2799608775468503"
"69",134,"Latvia","4.4423517230597165"
"70",28,"Lebanon","7.0698234853220914"
"71",25,"Lesotho","7.1531003030310156"
"72",13,"Liberia","7.618025125736418"
"73",146,"Lithuania","3.6687331255781812"
"74",97,"Luxembourg","5.4028293008122885"
"75",107,"Macedonia","5.1039188723259894"
"76",81,"Malawi","5.856554727035304"
"77",71,"Malaysia","6.0979910324754361"
"78",8,"Mali","7.9739243377411988"
"79",136,"Malta","4.3672337372261119"
"80",39,"Marshall Islands","6.7038911067699161"
"81",33,"Mauritania","6.9159791642630388"
"82",79,"Mauritius","5.9182379178162794"
"83",85,"Mexico","5.7535021138157001"
"84",93,"Moldova","5.4275560432446106"
"85",70,"Mongolia","6.1002805487624192"
"86",123,"Montenegro","4.7574397931318302"
"87",58,"Morocco","6.3834413839470532"
"88",7,"Mozambique","8.0752101235896454"
"89",14,"Myanmar","7.5757623817568209"
"90",49,"Namibia","6.5892263252832315"
"91",15,"Nepal","7.5668635688045551"
"92",111,"Netherlands","4.9343030382431206"
"93",143,"New Zealand","3.9084381575562479"
"94",46,"Nicaragua","6.6407793986626551"
"95",22,"Niger","7.3770833175008477"
"96",34,"Nigeria","6.9004592026749609"
"97",128,"Norway","4.5609504098495375"
"98",47,"Pakistan","6.6372678045883458"
"99",31,"Panama","7.0111084748382897"
"100",69,"Papua New Guinea","6.1347784003238122"
"101",17,"Paraguay","7.5275561824454584"
"102",101,"Peru","5.2542325174969289"
"103",66,"Philippines","6.2046719644508883"
"104",131,"Poland","4.4991701575811041"
"105",113,"Portugal","4.9003914084889173"
"106",108,"Qatar","5.1003179049739078"
"107",130,"Romania","4.5012355694907837"
"108",65,"Russia","6.2217497268106312"
"109",41,"Rwanda","6.6931059165730549"
"110",21,"Sao Tome And Principe","7.4209723655465476"
"111",94,"Saudi Arabia","5.4272867325642853"
"112",63,"Senegal","6.3082282835550068"
"113",84,"Serbia","5.7555291589605062"
"114",27,"Sierra Leone","7.1391798428055084"
"115",118,"Singapore","4.8349572023629204"
"116",121,"Slovakia","4.7793234573605003"
"117",142,"Slovenia","4.0205503044345825"
"118",100,"South Africa","5.3248739487949077"
"119",115,"Spain","4.867453072557832"
"120",26,"Sri Lanka","7.1459434598489473"
"121",87,"St. Lucia","5.7210941258988068"
"122",77,"St. Vincent And The Grenadines","5.9605782623490633"
"123",30,"Sudan","7.0151389015300367"
"124",139,"Sweden","4.248139836163177"
"125",103,"Switzerland","5.145227307963756"
"126",137,"Taiwan, China","4.3378644840238687"
"127",5,"Tajikistan","8.2839916137315264"
"128",11,"Tanzania","7.8869102520215169"
"129",45,"Thailand","6.6492665358544603"
"130",56,"Timor-Leste (East Timor)","6.4349273182392404"
"131",36,"Trinidad and Tobago","6.8046169631120854"
"132",60,"Tunisia","6.3652729147992915"
"133",44,"Turkey","6.6492720414713027"
"134",9,"Uganda","7.9547886900917257"
"135",53,"Ukraine","6.524400539617651"
"136",73,"United Arab Emirates","6.0596903506139101"
"137",119,"United Kingdom","4.805851534535714"
"138",117,"United States","4.8464851741903621"
"139",102,"Uruguay","5.1647823502545798"
"140",72,"Uzbekistan","6.0875945689884201"
"141",29,"Vanuatu","7.0207217112778686"
"142",51,"Venezuela","6.5348277109231354"
"143",19,"Vietnam","7.4447377431994166"
"144",38,"Yemen","6.7974195440707472"
"145",20,"Zambia","7.4322833434165041"
"146",37,"Zimbabwe","6.8002451422383476"
