"","Country","AML.Risk","Financial.Inclusion"
"1","Afghanistan",8.38168695243729,14.8933124542236
"2","Albania",5.74927872716373,40.0151710510254
"3","Algeria",6.47740916807204,42.7766265869141
"4","Argentina",6.69004702690221,48.7084884643555
"5","Armenia",4.43780947326022,47.7590179443359
"6","Australia",4.49055377498227,99.5193710327148
"7","Austria",5.06145547594016,98.1636657714844
"8","Azerbaijan",4.7829128242042,28.5712032318115
"9","Bahrain",5.80127335188449,82.6128463745117
"10","Bangladesh",5.79028956888494,50.0469131469727
"11","Belgium",4.65877449798331,98.6383209228516
"12","Benin",7.37385959047641,38.4892234802246
"13","Bolivia",7.17402300199733,54.4050559997559
"14","Bosnia and Herzegovina",5.90713774867723,58.8434982299805
"15","Botswana",6.02450239243602,51.0324554443359
"16","Brazil",6.19804047231742,70.0439453125
"17","Bulgaria",3.86972916198629,72.2040328979492
"18","Burkina Faso",7.53836624595697,43.1599922180176
"19","Cambodia",7.94239494489026,21.6717834472656
"20","Canada",5.14117903845072,99.7268829345703
"21","Chile",4.94071367315364,74.3492431640625
"22","China",6.52661897171213,80.229118347168
"23","Colombia",4.57082549475903,45.7592277526855
"24","Costa Rica",5.92916654398448,67.8383560180664
"25","Cote d'Ivoire",6.50863938482777,41.3309555053711
"26","Croatia",4.11237470507568,86.1434555053711
"27","Cyprus",4.86671800103713,88.7157592773438
"28","Czech Republic",4.56505069017087,80.9922637939453
"29","Denmark",4.05313716406929,99.9173736572266
"30","Dominican Republic",6.68808942472972,56.2391929626465
"31","Ecuador",6.36580128201526,51.2460174560547
"32","Egypt",5.66202264806119,32.7843589782715
"33","El Salvador",5.48094859850763,30.3529472351074
"34","Estonia",3.83058639180861,97.9939727783203
"35","Finland",3.04212857125475,99.7854156494141
"36","France",4.51762671129815,94.0040435791016
"37","Georgia",5.37361976366069,61.2304458618164
"38","Germany",4.77647251519268,99.1411895751953
"39","Ghana",6.83948563561695,57.7175254821777
"40","Greece",5.10935241794058,85.4665222167969
"41","Guatemala",6.17016439261437,44.1070098876953
"42","Haiti",7.50104146587352,32.6211853027344
"43","Honduras",5.97310048206183,45.3429718017578
"44","Hong Kong SAR, China",5.54048375551076,95.2832565307617
"45","Hungary",5.4140305051052,74.9449691772461
"46","India",5.58117015372786,79.8753280639648
"47","Indonesia",6.31869776135305,48.8574523925781
"48","Iran",8.60238822212268,93.9819183349609
"49","Ireland",4.61546463333094,95.3404541015625
"50","Israel",4.25261199641242,92.8149642944336
"51","Italy",5.4114804161399,93.7850189208984
"52","Japan",5.36239717074525,98.2433929443359
"53","Jordan",4.90067234379707,42.4930229187012
"54","Kazakhstan",6.42147300932434,58.6975326538086
"55","Kenya",7.71593252186095,81.5675659179688
"56","Korea, South",4.89575657492361,94.8510131835938
"57","Kuwait",5.52846925054294,79.8401565551758
"58","Kyrgyzstan",6.3261383903049,39.9420013427734
"59","Laos",8.27996087754685,29.05641746521
"60","Latvia",4.44235172305972,93.2224731445313
"61","Lebanon",7.06982348532209,44.7514228820801
"62","Lesotho",7.15310030303102,45.5638160705566
"63","Liberia",7.61802512573642,35.7138404846191
"64","Luxembourg",5.40282930081229,98.7678527832031
"65","Macedonia",5.10391887232599,76.5687713623047
"66","Malawi",5.8565547270353,33.7139320373535
"67","Malaysia",6.09799103247544,85.34375
"68","Mali",7.9739243377412,35.4166793823242
"69","Malta",4.36723373722611,97.3629150390625
"70","Mauritania",6.91597916426304,20.8725070953369
"71","Mauritius",5.91823791781628,89.842529296875
"72","Mexico",5.7535021138157,36.9319190979004
"73","Moldova",5.42755604324461,43.7856521606445
"74","Mongolia",6.10028054876242,92.9711685180664
"75","Montenegro",4.75743979313183,68.3617935180664
"76","Morocco",6.38344138394705,28.6444606781006
"77","Mozambique",8.07521012358965,41.6701049804688
"78","Myanmar",7.57576238175682,25.9922981262207
"79","Namibia",6.58922632528323,80.6334991455078
"80","Nepal",7.56686356880456,45.3855743408203
"81","Netherlands",4.93430303824312,99.6376190185547
"82","New Zealand",3.90843815755625,99.1784439086914
"83","Nicaragua",6.64077939866266,30.8619918823242
"84","Niger",7.37708331750085,15.5232448577881
"85","Nigeria",6.90045920267496,39.6668586730957
"86","Norway",4.56095040984954,99.7451400756836
"87","Pakistan",6.63726780458835,21.2932453155518
"88","Panama",7.01110847483829,46.4942588806152
"89","Paraguay",7.52755618244546,48.6468620300293
"90","Peru",5.25423251749693,42.6031799316406
"91","Philippines",6.20467196445089,34.4984092712402
"92","Poland",4.4991701575811,86.7333068847656
"93","Portugal",4.90039140848892,92.3409881591797
"94","Romania",4.50123556949078,57.7518043518066
"95","Russia",6.22174972681063,75.7588882446289
"96","Rwanda",6.69310591657305,50.0197944641113
"97","Saudi Arabia",5.42728673256429,71.6981201171875
"98","Senegal",6.30822828355501,42.3440170288086
"99","Serbia",5.75552915896051,71.441047668457
"100","Sierra Leone",7.13917984280551,19.8087596893311
"101","Singapore",4.83495720236292,97.9311676025391
"102","Slovakia",4.7793234573605,84.1815872192383
"103","Slovenia",4.02055030443458,97.5334014892578
"104","South Africa",5.32487394879491,69.2184906005859
"105","Spain",4.86745307255783,93.7557067871094
"106","Sri Lanka",7.14594345984895,73.6464614868164
"107","Sweden",4.24813983616318,99.7422103881836
"108","Switzerland",5.14522730796376,98.4296646118164
"109","Taiwan",4.33786448402387,94.1796264648438
"110","Tajikistan",8.28399161373153,47.0243949890137
"111","Tanzania",7.88691025202152,46.7515640258789
"112","Thailand",6.64926653585446,81.5940017700195
"113","Trinidad and Tobago",6.80461696311209,80.7833480834961
"114","Tunisia",6.36527291479929,36.906566619873
"115","Turkey",6.6492720414713,68.5903091430664
"116","Uganda",7.95478869009173,59.1991500854492
"117","Ukraine",6.52440053961765,62.9023323059082
"118","United Arab Emirates",6.05969035061391,88.2103881835938
"119","United Kingdom",4.80585153453571,96.3663177490234
"120","United States",4.84648517419036,93.122184753418
"121","Uruguay",5.16478235025458,63.8680038452148
"122","Uzbekistan",6.08759456898842,37.0897369384766
"123","Venezuela",6.53482771092314,73.4945068359375
"124","Vietnam",7.44473774319942,30.7957916259766
"125","Zambia",7.4322833434165,45.8632583618164
"126","Zimbabwe",6.80024514223835,55.2851371765137
