"","Country.Name","X2017"
"1","Arab World",37.165210723877
"2","East Asia & Pacific (all income levels)",73.693977355957
"3","East Asia & Pacific (excluding high income)",70.6188125610352
"4","Euro area",95.3034896850586
"5","Europe & Central Asia (all income levels)",81.4561996459961
"6","Europe & Central Asia (excluding high income)",65.2943344116211
"7","High income",93.7058715820313
"8","Latin America & Caribbean (all income levels)",55.1437568664551
"9","Latin America & Caribbean (excluding high income)",54.4080963134766
"10","Low & middle income",63.0111236572266
"11","Low income",34.8548431396484
"12","Lower middle income",57.8322486877441
"13","Middle East & North Africa (all income levels)",47.5306854248047
"14","Middle East & North Africa (excluding high income)",43.4780883789063
"15","Middle income",65.3129196166992
"16","North America",93.8115386962891
"17","OECD members",94.6795196533203
"18","South Asia",69.5591125488281
"19","Sub-Saharan Africa (all income levels)",42.6074295043945
"20","Sub-Saharan Africa (excluding high income)",42.6074295043945
"21","Upper middle income",73.0862808227539
"22","World",68.51611328125
"23","Afghanistan",14.8933124542236
"24","Albania",40.0151710510254
"25","Algeria",42.7766265869141
"26","Argentina",48.7084884643555
"27","Armenia",47.7590179443359
"28","Australia",99.5193710327148
"29","Austria",98.1636657714844
"30","Azerbaijan",28.5712032318115
"31","Bahrain",82.6128463745117
"32","Bangladesh",50.0469131469727
"33","Belarus",81.1558837890625
"34","Belgium",98.6383209228516
"35","Benin",38.4892234802246
"36","Bolivia",54.4050559997559
"37","Bosnia and Herzegovina",58.8434982299805
"38","Botswana",51.0324554443359
"39","Brazil",70.0439453125
"40","Bulgaria",72.2040328979492
"41","Burkina Faso",43.1599922180176
"42","Cambodia",21.6717834472656
"43","Cameroon",34.5907897949219
"44","Canada",99.7268829345703
"45","Central African Republic",13.745945930481
"46","Chad",21.7591934204102
"47","Chile",74.3492431640625
"48","China",80.229118347168
"49","Colombia",45.7592277526855
"50","Congo, Dem. Rep.",25.8256759643555
"51","Congo, Rep.",26.0927505493164
"52","Costa Rica",67.8383560180664
"53","Cote d'Ivoire",41.3309555053711
"54","Croatia",86.1434555053711
"55","Cyprus",88.7157592773438
"56","Czech Republic",80.9922637939453
"57","Denmark",99.9173736572266
"58","Dominican Republic",56.2391929626465
"59","Ecuador",51.2460174560547
"60","Egypt, Arab Rep.",32.7843589782715
"61","El Salvador",30.3529472351074
"62","Estonia",97.9939727783203
"63","Ethiopia",34.8275680541992
"64","Finland",99.7854156494141
"65","France",94.0040435791016
"66","Gabon",58.6019973754883
"67","Georgia",61.2304458618164
"68","Germany",99.1411895751953
"69","Ghana",57.7175254821777
"70","Greece",85.4665222167969
"71","Guatemala",44.1070098876953
"72","Guinea",23.4860343933105
"73","Haiti",32.6211853027344
"74","Honduras",45.3429718017578
"75","Hong Kong SAR, China",95.2832565307617
"76","Hungary",74.9449691772461
"77","India",79.8753280639648
"78","Indonesia",48.8574523925781
"79","Iran, Islamic Rep.",93.9819183349609
"80","Iraq",22.6651515960693
"81","Ireland",95.3404541015625
"82","Israel",92.8149642944336
"83","Italy",93.7850189208984
"84","Japan",98.2433929443359
"85","Jordan",42.4930229187012
"86","Kazakhstan",58.6975326538086
"87","Kenya",81.5675659179688
"88","Korea, Rep.",94.8510131835938
"89","Kosovo",52.2733993530273
"90","Kuwait",79.8401565551758
"91","Kyrgyz Republic",39.9420013427734
"92","Lao PDR",29.05641746521
"93","Latvia",93.2224731445313
"94","Lebanon",44.7514228820801
"95","Lesotho",45.5638160705566
"96","Liberia",35.7138404846191
"97","Libya",65.6675186157227
"98","Lithuania",82.8838500976563
"99","Luxembourg",98.7678527832031
"100","Macedonia, FYR",76.5687713623047
"101","Madagascar",17.8678703308105
"102","Malawi",33.7139320373535
"103","Malaysia",85.34375
"104","Mali",35.4166793823242
"105","Malta",97.3629150390625
"106","Mauritania",20.8725070953369
"107","Mauritius",89.842529296875
"108","Mexico",36.9319190979004
"109","Moldova",43.7856521606445
"110","Mongolia",92.9711685180664
"111","Montenegro",68.3617935180664
"112","Morocco",28.6444606781006
"113","Mozambique",41.6701049804688
"114","Myanmar",25.9922981262207
"115","Namibia",80.6334991455078
"116","Nepal",45.3855743408203
"117","Netherlands",99.6376190185547
"118","New Zealand",99.1784439086914
"119","Nicaragua",30.8619918823242
"120","Niger",15.5232448577881
"121","Nigeria",39.6668586730957
"122","Norway",99.7451400756836
"123","Pakistan",21.2932453155518
"124","Panama",46.4942588806152
"125","Paraguay",48.6468620300293
"126","Peru",42.6031799316406
"127","Philippines",34.4984092712402
"128","Poland",86.7333068847656
"129","Portugal",92.3409881591797
"130","Romania",57.7518043518066
"131","Russian Federation",75.7588882446289
"132","Rwanda",50.0197944641113
"133","Saudi Arabia",71.6981201171875
"134","Senegal",42.3440170288086
"135","Serbia",71.441047668457
"136","Sierra Leone",19.8087596893311
"137","Singapore",97.9311676025391
"138","Slovak Republic",84.1815872192383
"139","Slovenia",97.5334014892578
"140","South Africa",69.2184906005859
"141","South Sudan",8.5700044631958
"142","Spain",93.7557067871094
"143","Sri Lanka",73.6464614868164
"144","Sweden",99.7422103881836
"145","Switzerland",98.4296646118164
"146","Taiwan, China",94.1796264648438
"147","Tajikistan",47.0243949890137
"148","Tanzania",46.7515640258789
"149","Thailand",81.5940017700195
"150","Togo",45.2893524169922
"151","Trinidad and Tobago",80.7833480834961
"152","Tunisia",36.906566619873
"153","Turkey",68.5903091430664
"154","Turkmenistan",40.5764122009277
"155","Uganda",59.1991500854492
"156","Ukraine",62.9023323059082
"157","United Arab Emirates",88.2103881835938
"158","United Kingdom",96.3663177490234
"159","United States",93.122184753418
"160","Uruguay",63.8680038452148
"161","Uzbekistan",37.0897369384766
"162","Venezuela, RB",73.4945068359375
"163","Vietnam",30.7957916259766
"164","West Bank and Gaza",25.0221767425537
"165","Zambia",45.8632583618164
"166","Zimbabwe",55.2851371765137
